Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жаліло,Тереза,Азарівна,Жіноча,1996-09-16,Різноробочий,місто Хоростків,"вулиця Лазурний 4-й, буд. 22, Кривий Ріг, 06819",242-00-63,ostap88@example.com
Приймак,Клавдія,Вадимівна,Жіноча,1947-10-26,Літературознавець,селище Донецьк,"набережна Аеропортівський 3-й, буд. 4 кв. 7, Сторожинець, 46864",014 979-34-16,zhuchenkopylyp@example.net
Скирда,Любов,Леонтіївна,Жіноча,1983-08-30,Модель,селище Заставна,"вулиця Мусіна, буд. 378 кв. 07, Ківерці, 42785",+380 (64) 152-80-22,vladyslavtsiutsiura@example.net
Стельмах,Едита,Костянтинівна,Жіноча,1995-11-07,Археолог,хутір Отаманівка,"провулок Старорізнична, буд. 8 кв. 8, Новий Розділ, 73328",046 441-36-25,orkhyp02@example.net
Чабан,Лілія,Арсенівна,Жіноча,1961-05-10,Продюсер,місто Моспине,"узвіз Гобеленова, буд. 1 кв. 336, Хутір-Михайлівський, 73299",740 69 67,iustynademianiuk@example.org
Габелко,Людмила,Амвросійовна,Жіноча,1938-04-06,Водій,хутір Суми,"шосе Старобазарний, буд. 5, Кам'янець-Подільський, 47576",019 391-47-09,okseniiabhydenko@example.com
Фурс,Галина,Францівна,Жіноча,2002-01-27,Драматург,хутір Дебальцеве,"проспект Василя Кандинського 4-й, буд. 1, Городок, 01835",+380 33 112 42 84,anitastus@example.net
Ющенко,Сніжана,Максимівна,Жіноча,1981-08-23,Прокурор,селище Гайсин,"площа Зелена, буд. 783 кв. 8, Узин, 02137",432 32 73,klymentfomenko@example.com
Лемешко,Наталія,Аркадіївна,Жіноча,1947-12-13,Мірошник,місто Іршава,"шосе Слов'янська, буд. 2, Донецьк, 34617",753-91-62,lzatula@example.org
Ярема,Наталія,Симонівна,Жіноча,1973-11-29,Клоун,місто Борщів,"узвіз Леся Курбаса, буд. 658 кв. 44, Красногорівка, 53040",103-13-33,anton67@example.net
Вернидуб,Вікторія,Стефанівна,Жіноча,1986-02-17,Гінеколог,хутір Херсон,"набережна Штильова, буд. 464, Обухів, 94040",+380 03 927 35 09,lesbarabash@example.org
Вергун,Ірина,Опанасівна,Жіноча,1942-01-04,Мінералог,місто Бердичів,"узвіз Ватманський, буд. 661 кв. 702, Чортків, 12588",+380 (31) 980-04-55,sviatoslavdavymuka@example.com
Абрагамовська,Єва,Тарасівна,Жіноча,1977-09-09,Складальник,місто Чорнобиль,"площа Лінія 40-ва, буд. 76 кв. 9, Лозова, 02100",293 50 19,snizhanatereshchenko@example.net
Ґерета,Галина,Дмитріївна,Жіноча,1975-11-01,Піаніст,село Острог,"проспект Чорноморський 10-й, буд. 2, Шаргород, 54150",944-52-89,xivanychuk@example.org
Тиха,Аніта,Геннадіївна,Жіноча,1943-11-12,Кур'єр,хутір Переяслав,"вулиця Добровольців, буд. 71, Старобільськ, 18027",076 228 54 78,dan55@example.org
Жайворон,Оксана,Аркадіївна,Жіноча,1962-05-14,Хореограф,село Ромни,"сквер Глухий міст, буд. 0 кв. 5, Дергачі, 43136",+380 18 379-51-76,halyna62@example.com
Джус,Роксолана,Лесівна,Жіноча,1976-07-05,Інженер,селище Дергачі,"узвіз Локомотивний 2-й, буд. 8, Павлоград, 83842",072 452-52-90,leon84@example.org
Тимчук,Лариса,Богданівна,Жіноча,1940-05-15,Етнограф,хутір Селидове,"сквер Пироговська, буд. 4 кв. 392, Нікополь, 53948",+380 45 155-75-88,okhrim06@example.net
Тичина,Ірина,Макарівна,Жіноча,1958-07-17,Слідчий,село Феодосія,"узвіз Фонтанська дорога, буд. 311, Золотоноша, 91985",+380 57 083 78 06,makarenkoopanas@example.com
Шовкопляс,Альбіна,Едуардівна,Жіноча,1989-02-28,Випробувач,хутір Горішні Плавні,"парк Чорноморський 9-й, буд. 699, Долинська, 16205",+380 72 495-37-82,volodymyrakaras@example.net
Ющенко,Богуслава,Леонідівна,Жіноча,1997-10-02,Стиліст,село Кам'янське,"шосе Зелена гірка, буд. 321 кв. 490, Канів, 24162",083 271-54-21,bohdanna64@example.net
Матяш,Світлана,Гаврилівна,Жіноча,1954-03-25,Географ,село Рава-Руська,"вулиця Новаторів, буд. 8 кв. 8, Зеленодольськ, 24867",+380 10 622 03 95,lestymchenko@example.org
Свириденко,Одарка,Борисівна,Жіноча,1973-11-29,Хореограф,селище Чорноморськ,"сквер Рекордний, буд. 1, Обухів, 85679",+380 (72) 262-27-85,ihnat01@example.com
Пилипенко,Богданна,Амвросійовна,Жіноча,1945-03-15,Золотар,селище Джанкой,"проспект Проїзний 1-й, буд. 55, Вашківці, 98050",088 768-38-34,cvovk@example.com
Вернигора,Людмила,Костянтинівна,Жіноча,1949-07-19,Геофізик,селище Златопіль,"вулиця Проїзний 1-й, буд. 911, Чистякове, 38281",089 257 71 95,albinabaidak@example.net
Гупало,Марія,Владиславівна,Жіноча,1947-04-09,Кінолог,селище Авдіївка,"сквер Василя Кандинського, буд. 23 кв. 199, Зугрес, 24076",028 504 05 95,omelian52@example.net
Тригуб,Наталія,Германівна,Жіноча,2005-10-13,Слідчий,хутір Бобровиця,"провулок Дачна, буд. 2 кв. 08, Гадяч, 77659",+380 38 424-31-82,pushkarhennadii@example.org
Засуха,Віра,Дмитріївна,Жіноча,1951-05-09,Громадський діяч,селище Погребище,"площа 9-та Лінія Дачі Ковалевського, буд. 365 кв. 0, Бобровиця, 49430",+380 01 143-09-51,yfomenko@example.net
Вернигора,Альбіна,Георгіївна,Жіноча,2003-11-29,Прокурор,хутір Новодністровськ,"провулок Ганни Ахматової, буд. 608 кв. 569, Карлівка, 27792",+380 47 699-34-22,batihleontii@example.org
Юхименко,Соломія,Тимофіївна,Жіноча,2002-11-02,Епідеміолог,село Борзна,"провулок Нечипуренка, буд. 940 кв. 3, Рава-Руська, 89107",703 92 43,leonbazylevych@example.org
Артим,Віра,Аркадіївна,Жіноча,2007-09-30,Ботанік,селище Радивилів,"вулиця Сосюри, буд. 9 кв. 830, Бершадь, 89776",088 215 44 82,iefrem41@example.org
Євдокименко,Ірина,Борисівна,Жіноча,2000-03-25,Клоун,хутір Горлівка,"узвіз Агрономічна, буд. 48, Ананьїв, 88275",123 78 16,anita15@example.net
Романець,Сніжана,Аркадіївна,Жіноча,2007-09-23,Професор,хутір Шахтарське,"парк Андросовський, буд. 2, Жданівка, 59517",+380 19 447-90-44,zynovii16@example.net
Романець,Святослава,Леонідівна,Жіноча,2005-07-29,Географ,село Світлодарськ,"сквер Пироговський, буд. 55, Старий Крим, 50400",576 90 17,andriichukvalentyn@example.com
Стус,Сніжана,Захарівна,Жіноча,1954-04-12,Продюсер,село Шахтарське,"набережна Пересипська 6-та, буд. 77 кв. 57, Синельникове, 84367",+380 58 416-10-81,iurchukhordii@example.com
Затула,Орина,Йосипівна,Жіноча,1980-11-19,Програміст,селище Кремінна,"узвіз Петра Біциллі, буд. 4 кв. 092, Докучаєвськ, 82731",+380 56 469 84 49,kabanenkopavlo@example.net
Єщенко,Єлисавета,Данилівна,Жіноча,1939-01-03,Художник,село Баранівка,"сквер Миколи Огренича, буд. 9, Канів, 36651",008 286 77 02,emiliia63@example.org
Верховинець,Христина,Русланівна,Жіноча,1971-10-30,Бібліограф,місто Могилів-Подільський,"набережна Лучиста, буд. 287, Шептицький, 24685",+380 (05) 292-13-73,sirkoihor@example.org
Даниленко,Михайлина,Андріївна,Жіноча,1970-05-22,Науковець,селище Костянтинівка,"вулиця Отамана Головатого, буд. 508, Полонне, 77135",+380 34 125 24 85,gdemianchuk@example.net
Стельмах,Святослава,Сергіївна,Жіноча,1961-04-27,Сантехнік,селище Сокологірськ,"шосе Лазурний 6-й, буд. 0 кв. 70, Маріуполь, 53711",082 394 46 93,sirkoiukhym@example.net
Шахрай,Наталія,Амвросійовна,Жіноча,2000-04-02,Хімік,хутір Кобеляки,"вулиця Обліпихова, буд. 823 кв. 0, Овруч, 76830",034 55 49,andrii10@example.org
